id,name,terminalName,latestUpdateTime,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks
"73","Farview Park","30069","1461529890128","1461534230750","45.005994","-93.287559","true","false","0","0","false","true","7","8"
"74","West Broadway & Logan Ave N","30070","1461514510257","1461534253884","45.002448","-93.305857","true","false","0","0","false","true","7","8"
"75","7th Street N & Plymouth Ave N","30071","1461492061177","1461534242796","44.991704","-93.293988","true","true","0","0","false","true","2","13"
"76","36th Ave N & Irving Ave N","30072","1461530111386","1461534236411","45.020404172049474","-93.29954154789448","true","false","0","0","false","true","10","5"
"77","West 34th Street  & Hennepin Ave S","30073","1461533939818","1461534183358","44.941388","-93.298634","true","false","0","0","false","true","8","11"
"79","27th Ave SE & University Ave.","30074","1461525341049","1461534112169","44.97259","-93.218919","true","false","0","0","false","true","11","4"
"80","Curfew Street & Ellis Ave.","30075","1461492245387","1461534152223","44.96616","-93.20525","true","false","0","0","false","true","8","7"
"81","Carleton Street & University Ave","30076","1461492036926","1461534286173","44.963549","-93.195906","true","false","0","0","false","true","9","6"
"82","Fairview Ave. & University Ave.","30077","1461521957254","1461534345111","44.95665","-93.17706","true","false","0","0","false","true","9","6"
"83","Hamline University","30078","1461532965008","1461534312267","44.964172","-93.165868","true","false","0","0","false","true","2","13"
"84","Sherburne Ave & Snelling Ave N","30079","1461533183971","1461534149030","44.956624","-93.16734","true","false","0","0","false","true","4","11"
"85","Midtown YWCA","30080","1461532363753","1461534217990","44.94823","-93.24054","true","false","0","0","false","true","5","10"
"86","East Lake Street & 36th Ave S","30081","1461531821416","1461534209244","44.94826","-93.22106","true","false","0","0","false","true","8","7"
"87","N Victoria Street & University Ave","30082","1461505458631","1461534307258","44.956052","-93.136556","true","false","0","0","false","true","4","11"
"88","Wilder Street & Marshall Ave","30083","1461492108971","1461534179401","44.948147","-93.185819","true","false","0","0","false","true","8","7"
"89","Grand Ave & Fairview Ave","30085","1461492189327","1461534279380","44.940513","-93.177093","true","false","0","0","false","true","5","10"
"90","Macalester College","30086","1461501894815","1461534225930","44.940218","-93.17022","true","false","0","0","false","true","6","9"
"91","Grant Street & Portland Ave","30087","1461492052803","1461534155330","44.96954","-93.2669","true","false","0","0","false","true","11","4"
"92","6th Ave SE & University Ave","30088","1461531953833","1461534257654","44.983281","-93.24812","true","false","0","0","false","true","15","12"
"93","Lake Calhoun Center","30089","1461532056253","1461534327664","44.94846716687744","-93.3172944188118","true","false","0","0","false","true","17","10"
"94","Portland Ave. & Washington Ave.","30090","1461526718094","1461534271739","44.978068","-93.26023","true","false","0","0","false","true","14","5"
"95","Gateway Park","30091","1461526767727","1461534237771","44.9825943","-93.2675139","true","false","0","0","false","true","8","11"
"96","Marshall Street NE & 8th Ave. NE","30098","1461513160419","1461534211263","44.995348","-93.266854","true","false","0","0","false","true","9","6"
"97","2nd Street N & 8th Ave. N","30092","1461492221478","1461534225193","44.989166","-93.27651","true","false","0","0","false","true","7","12"
"98","University Ave. NE & 12th Ave. NE","30096","1461492074349","1461534212871","44.999894","-93.26296","true","false","0","0","false","true","3","12"
"99","Pleasant Ave S &  Lake Street","30097","1461492211708","1461534156816","44.948556","-93.283163","true","false","0","0","false","true","5","10"
"100","West 32nd Street & Bryant Ave S","30094","1461525401018","1461534204309","44.94478","-93.29038","true","false","0","0","false","true","8","7"
"101","West 36th Street & Bryant Ave S","30095","1461533605596","1461534281004","44.93775","-93.2912","true","false","0","0","false","true","8","7"
"102","West 15th Street & Willow","30093","1461526323176","1461534293472","44.968237","-93.281991","true","false","0","0","false","true","16","6"
"103","Grand Ave & Cretin Ave","30084","1461527404379","1461534249191","44.939936","-93.192758","true","false","0","0","false","true","7","8"
